title,price,currency,total sold,url
Apple iPhone 8 64GB GSM Unlocked Space Gray/ Gold/ Silver A1905 Smartphone,$339.95,US,48,https://www.ebay.com/itm/Apple-iPhone-8-64GB-GSM-Unlocked-Space-Gray-Gold-Silver-A1905-Smartphone/392419999613?epid=239054200&_trkparms=ispr%3D1&hash=item5b5e0dff7d:m:mv3s3fzkVk7jVOviDMXL-GA&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qU%2B%2F%2FfCHmQ2kAGKr5uBXY8i3Pn482VlcXcTh79a9sugOYC5Ezk%2BR5uHTzMOA28oUoBlw8oQWWvKp3jZdh5UMhxQsIBB3TzcROvcZObI5j%2FvV7m49iHd9xr%2BIHjycKnq70KQ4pyTwFO7GWMTjugKiRnMlMK02Xzw3%2BmZ5O2JOH0o2F7MLg0%2Bv18%2B6jASauEnuVcw7DhCagfmlQJ8HKT8cNVGZCL7z3mSeGrXgje2%2Bg6yjKSQkhPBFHKBeYXCGl1dSPrHuNV8k%2BhZzi3QXlpMzDXho6R25qkk4kALr6jP%2Fyj7lptX8fe1lRQU3NTRpyzuFWapTT3J8lLNB523lQn5Xxm0EUPz47kyJ8g6Jo5LEToNXwTMJrNnHBeNvI%2FZlHFCafwvAkyle0wOg7SNhoLWQPLzzAkEYvY8xrB7sjdRvetAp7cq%2B3D57aMHbOPO%2B0ZYF9UNGu5yvSRTnjy2PtKVmYI3dX2V3KRhcPHCzHmWIMGkn64Iy%2FTjRFb%2FxiNuXEG2HO41m6y0OF2YI%2FCDBxJHx2niuGMrdrMhPZl75ACFT4xNJN8GvlG6oXR54cMKbNgUUfFzuv8SZNwwsMEvJd0v25PJ&checksum=392419999613e69ca385638d429cb9c987e7ca69b382
Apple iPhone 6S 16GB 64GB  Space Grey Unlocked Genuine Smartphone AU STOCK,$279.00,AU,,https://www.ebay.com/itm/Apple-iPhone-6S-16GB-64GB-Space-Grey-Unlocked-Genuine-Smartphone-AU-STOCK/172365412102?epid=245412292&_trkparms=ispr%3D1&hash=item2821c77706:m:mTQVHi_KtubqjasVBNAJx5w&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qXQrnzxzp5%2BYhSCKvIwLNx2GWc6DEzZIPBQ%2BGRpt4svd2vI1bHDu6%2BR3SfSGR%2F9qL5D4MhGjEB6WJYnBINgeg8oR%2FmPgmO1%2B14EDAUNBQWXUNDUFaVUPFOna1%2BcR5bEpZdHiyeXuOzL89rEaRmmbap0DA3cryo%2B3r6xaCBpLUzZhq183QMudW3KG0YxaXO2kMzoaMC%2Fcmp3E4NEdQE9WxB71bB0ZNtKUGoT%2Bp5kQ9Cj86UIErVGOeEC3V2UmoeKtHZ%2FnE%2BrVgkDRvKVnpfpnGHVe0Cn%2FFW0VujES45RTNu11DZ7vEq3EHRGhBKXwi7a%2BRjbXcHbtvpcGYoriBCHGIdJN0KGUbFX%2FoiHu66v8YwFo1%2F8jDT6XgI3geTV%2FUUIJyRapR2GDFNdSoDyMVBgRUIXVLf9XZdtE6hp%2Fqdcmt7vRWfbEspijJosRo9jE6MpPiLlw7sS1CXWl9qLZPckv0Vduce87%2BkMUSW0M73jniYgHVoyueC11wlF6NTf4TWgMFkbqpY%2F0B95xlejAz7PLaxSyQ8244hAmrTQO9kTYpqJjImx2%2BmThE073xnNGuOJ4LjeiWLlslPrBKYxzkwvfbqR&checksum=172365412102e69ca385638d429cb9c987e7ca69b382
Apple | iPhone 7 | 4.7 32GB 128GB 256GB | Black Red T-Mobile AT&T Sprint Verizon,$191.36,US,418,https://www.ebay.com/itm/Apple-iPhone-7-4-7-32GB-128GB-256GB-Black-Red-T-Mobile-AT-T-Sprint-Verizon/202274652476?epid=232834228&_trkparms=ispr%3D1&hash=item2f1882413c:m:mNiX5ypn5Rsutp-nFcNLGBA&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qUmvBNjUwAPh25qcEtMxnfg5yiurKDpuf7clpC8L9CHPtmvTjjtT9MTIyiW0m%2BApDXNYuTEp%2B8VTWcfkI1OhK084KRFCvSq2bGXuK4EYg%2BJfnKoWysbppaoqN1T81G80k7jYyw8u3gEAvWd%2Fho7NM7aXCvRpZnXgYqh4NFwclmNEeBbmrmVgpHzG7NNUF9Abu7ieu5MUWse3B3x5CkUUylElNk%2F4hcy%2FJl3yJNTEQDrjywcuyJnZs0rqVcViN4jX16LSBzoN7SH8m4p1UnHfceuNz7nym92AppvND3QRZfhA9f8fTiZHsKSIuh0GKzS3aS57opj7L90JXn7%2B2URPL3a4uMnMczhcPhjc8MLfTAi99Crhdw4RcvjD3kEzWCii3Bkt1SfXyQQw64moj7eIgUTHE0E7O6t9NJupvSc2pPXppMCDBgxJT7WD8e8hzpd4yYnUiKSj8bGGK8T3sSGJyCBgtbxRMes79X6R%2FRQNSrKiHYzhPx6Afqxd5%2F79neqwG0YpH3LnuqyOxQIRlHqk6bmxJ08nsXMkER4aVmdBCiFcnHR9Vc0IDYVzP1ThMUw7I0KmzCA43A27o%2BpddT0UfOz&checksum=202274652476e69ca385638d429cb9c987e7ca69b382
Apple iPhone 7 128GB Red Black Gold Silver 4G Phone Cheap AU Seller Unlocked,$385.00,AU,140,https://www.ebay.com/itm/Apple-iPhone-7-128GB-Red-Black-Gold-Silver-4G-Phone-Cheap-AU-Seller-Unlocked/172823873387?_trkparms=ispr%3D1&hash=item283d1b076b:m:mDhe4qtB9LTGTPIhHuAIGLQ&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qVce1CTi06slfUpCsrSEbT2EPAStGFHWOdVeKx5lPfYOXvnOSnNX%2BrDwYAHMGFC%2FNaRNlLBCj1EHGNOsFqe27V9SuXb5hBNzLS1%2FkUZY6I2zB05bIjg8Tnx1tqdIn5p24pxyFmUJ6eV1YmSmkWuDNrYZN5azSEzEikqAaaOCsLkV1GtoUZvWwbZmg7GZh2pMxzAU%2FV9hApRTBf7AIcRCU52OQFTRl0PMdOvqZFFF%2FCWqe8ywsAFEW0yNOxgRUwbA1NAVEMhmiZdkPuRd1v8Ex5hZ6MHGu%2BjNWLQFncjTEXHWQv8Jsbd9mcuCevC7k%2BFPGxLpgVdb%2FHn9nA3Q6GY8mjiAuwHZeM7nKeqlVAm1z116LctIPaDIGlwkFJEIc%2Bv%2BRwVQ24j59viKM%2Bgc1ptFj4KheAZlBsTYHzqb43aEhcbMhJ961NCwyr%2F0lgTiTNVfEHsGUZEo%2BhpOch0jvTP9oTTtLhs53PhYkazPEv6iTD8wleew5NPTougjIndPfH7y%2FMPd98BbBV1f1ZiAJD2VB%2FnEPdy8BP1PN8DRBCBJxLBGdTkKKpkyWMeCnI5nQjXliQoHHFPIU1i7ok4Y0%2FN318b&checksum=172823873387e69ca385638d429cb9c987e7ca69b382
Apple iPhone 7 Smartphone 32GB 128GB 256GB Factory Unlocked 4G LTE WiFi iOS,$164.00,US,"1,520",https://www.ebay.com/itm/Apple-iPhone-7-Smartphone-32GB-128GB-256GB-Factory-Unlocked-4G-LTE-WiFi-iOS/292605336862?epid=232669172&_trkparms=ispr%3D1&hash=item4420a31d1e:m:muGAbzfCc0g96Des2xNMzyg&enc=AQAEAAAB0BPxNw%2BVj6nta7CKEs3N0qUmLOBUEsTQY1hSkKgx%2FVly6GNsAmhmnL2A78PHSyCMkT%2BA16eD2mr%2BndVKdPWN%2BTw18DCslIjKCAzqd27kJX%2BFUnrsrHpXoLbnJk0OWwmdRy4r5VWqfZnqYsVQ%2FTB%2FiGDbn3eZvdJe96XBsdexvvTPScQpOwwC0j%2BQL%2FPivmwfcaGWIFNY062UylslIx0267u9faEe5VE%2FAscJ6r4bdCTPQ9WWgT2%2BrPuxpkyBxB7s3v5UdZTpIbc2wQjGGtQ5evqaVQP4Qm1t04RdxZ7%2FA06K3wLQDATt8dUD0xqBHQmnQLhRmFzcX73NGe1p0bLfZ8y8NbC6hLpNocUJ9Y%2BkDGq9M3M47rD97hCi6DRAXH3Ws5h5TuXmTeQ%2BpiXfDnce7uOA%2BGLCku0wZOZOtxxgm3EWRYggNbweaL%2BqDb52h1Js4WRpaCwq3Fj44mFRiebtyumgoxM7KG5qJLIoIaDj%2BC5K34VNkThVw0fKlYL1R4uVggKsJojwT9iv68iwXn%2F%2FIOGGedJlLSJG1g24L3UgQKSs2WtLfQoda3D3Ezv7MN3rBQB0XwWk40WOJA3Ijz4QF5DeCgK3vuuH%2FzZyri2m99rt&checksum=292605336862e69ca385638d429cb9c987e7ca69b382
Apple iPhone 8 Plus - 64GB - Silver (AT&T) A1897 (GSM),$349.99,US,,https://www.ebay.com/itm/Apple-iPhone-8-Plus-64GB-Silver-AT-T-A1897-GSM/323913794211?epid=239092875&hash=item4b6ac442a3:g:x-AAAOSwqYhdeson
***Factory Unlocked iPhone 8 - 64GB - Space Gray - Works Perfectly ***,$177.50,US,,https://www.ebay.com/itm/Factory-Unlocked-iPhone-8-64GB-Space-Gray-Works-Perfectly/274006108093?hash=item3fcc0967bd:g:NGEAAOSwStpderSD
Apple iPhone 8 64GB Unlocked Smartphone - Space Gray (A1863),$299.01,US,,https://www.ebay.com/itm/Apple-iPhone-8-64GB-Unlocked-Smartphone-Space-Gray-A1863/274005772361?epid=240377032&hash=item3fcc044849:g:yqgAAOSw3x1demct
APPLE IPHONE 7 32GB BLACK UNLOCKED AUS VERSION PHONE,$324.95,AU,,https://www.ebay.com/itm/APPLE-IPHONE-7-32GB-BLACK-UNLOCKED-AUS-VERSION-PHONE/283611612813?epid=239099307&hash=item420891c68d:g:k7sAAOSw8ZhdWzV9
Apple iPhone 8 Plus - 64GB - Gold (Unlocked) A1897 (GSM),$400.00,US,,https://www.ebay.com/itm/Apple-iPhone-8-Plus-64GB-Gold-Unlocked-A1897-GSM/153641142757?epid=239068324&hash=item23c5b9c9e5:g:Sg8AAOSwKp5det4i
